t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.874331,-3.704852,-4.007769,-0.000970,0.037138,0.133698,-0.253121,0.426865,0,trail,5
0.907228,-3.706563,-4.006832,-0.000857,0.057735,0.207848,-0.303338,0.458542,0,trail,5
0.940782,-3.708182,-4.005931,-0.000890,0.064293,0.231455,-0.309653,0.452106,0,trail,5
0.973868,-3.707391,-4.006371,-0.000884,0.014034,0.050524,-0.275685,0.424598,0,trail,5
1.006776,-3.708254,-4.005902,-0.000922,0.001363,0.004906,-0.275548,0.417380,0,trail,5
1.039264,-3.708540,-4.005731,-0.000931,0.003267,0.011763,-0.290559,0.417204,0,trail,5
1.072479,-3.708374,-4.005826,-0.000939,0.022828,0.082181,-0.304327,0.419780,0,trail,5
1.106049,-3.708642,-4.005686,-0.000922,0.010172,0.036620,-0.316073,0.414914,0,trail,5
1.139776,-3.708339,-4.005885,-0.000891,0.012616,0.045417,-0.307794,0.410833,0,trail,5
1.172372,-3.708475,-4.005792,-0.000905,0.001470,0.005291,-0.307454,0.413140,0,trail,5
1.205497,-3.708598,-4.005704,-0.000907,0.005334,0.019204,-0.321571,0.417681,0,trail,5
1.238576,-3.709004,-4.005451,-0.000931,0.001761,0.006338,-0.321413,0.413391,0,trail,5
1.271292,-3.709704,-4.005022,-0.000952,0.027045,0.097362,-0.346355,0.420686,0,trail,5
1.304116,-3.709383,-4.005241,-0.000943,0.003648,0.013133,-0.320991,0.413001,0,trail,5
1.337085,-3.709066,-4.005477,-0.000901,0.007929,0.028546,-0.342750,0.416391,0,trail,5
1.370597,-3.708705,-4.005698,-0.000902,0.017683,0.063660,-0.308803,0.413745,0,trail,5
1.403225,-3.708696,-4.005701,-0.000901,0.015599,0.056157,-0.329027,0.423255,0,trail,5
1.436890,-3.709249,-4.005365,-0.000920,0.001174,0.004226,-0.339182,0.418579,0,trail,5
1.469053,-3.709531,-4.005191,-0.000889,0.014360,0.051695,-0.349270,0.419683,0,trail,5
1.502985,-3.709646,-4.005126,-0.000911,0.013199,0.047515,-0.367454,0.419386,0,trail,5
1.535672,-3.709585,-4.005161,-0.000930,0.004374,0.015745,-0.345049,0.417658,0,trail,5
