t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035121,2.998730,-1.008663,-0.000879,0.016859,0.060691,0.113438,0.560818,0,trail,1
0.370829,3.007507,-1.010769,-0.000948,0.061057,0.219807,0.019568,0.577958,0,trail,1
0.403557,3.011146,-1.011195,-0.000929,0.093077,0.335076,0.094167,0.572673,0,trail,1
0.436534,3.014660,-1.011710,-0.000806,0.104867,0.377521,0.002883,0.570358,0,trail,1
0.469781,3.018537,-1.012102,-0.000768,0.113060,0.407015,-0.027910,0.583804,0,trail,1
0.502287,3.018361,-1.012101,-0.000831,0.046720,0.168192,-0.038298,0.568441,0,trail,1
0.535053,3.019507,-1.012107,-0.000946,0.019026,0.068492,-0.020534,0.543393,0,trail,1
0.568359,3.020278,-1.012131,-0.001060,0.015043,0.054156,-0.034502,0.548277,0,trail,1
0.601187,3.021709,-1.012090,-0.000865,0.036333,0.130799,-0.053464,0.537585,0,trail,1
0.634284,3.022578,-1.012172,-0.000849,0.030832,0.110994,-0.061152,0.542689,0,trail,1
0.667549,3.023467,-1.012118,-0.000858,0.049313,0.177527,-0.057673,0.545442,0,trail,1
0.700735,3.025170,-1.012354,-0.000871,0.039914,0.143690,-0.044455,0.537278,0,trail,1
0.733380,3.027482,-1.012458,-0.000810,0.062681,0.225653,-0.001032,0.553354,0,trail,1
0.766552,3.028701,-1.012283,-0.001029,0.071329,0.256785,-0.037271,0.544926,0,trail,1
0.799161,3.030066,-1.012156,-0.001092,0.050875,0.183151,-0.074035,0.531665,0,trail,1
0.832104,3.030686,-1.012219,-0.001065,0.024617,0.088619,-0.038083,0.531554,0,trail,1
0.865774,3.031111,-1.012159,-0.001019,0.004203,0.015131,-0.112367,0.527807,0,trail,1
0.898717,3.031968,-1.012243,-0.001030,0.020263,0.072946,-0.127857,0.524097,0,trail,1
0.931633,3.033727,-1.012336,-0.001031,0.054294,0.195459,-0.013573,0.539147,0,trail,1
0.964236,3.034168,-1.012473,-0.001050,0.034331,0.123592,-0.067689,0.532656,0,trail,1
0.997215,3.033972,-1.012473,-0.001004,0.003403,0.012251,-0.057466,0.525862,0,trail,1
1.031661,3.034613,-1.012448,-0.000962,0.001593,0.005737,-0.057942,0.526501,0,trail,1
1.064563,3.035585,-1.012415,-0.000963,0.021514,0.077450,-0.027635,0.533567,0,trail,1
1.097674,3.035062,-1.012439,-0.000967,0.014800,0.053279,-0.048530,0.534228,0,trail,1
1.130972,3.035262,-1.012434,-0.000921,0.007037,0.025333,-0.061117,0.525312,0,trail,1
1.163756,3.035340,-1.012438,-0.000898,0.005927,0.021338,-0.027889,0.534640,0,trail,1
1.196399,3.035076,-1.012453,-0.000913,0.016365,0.058913,-0.047027,0.532045,0,trail,1
1.229787,3.035171,-1.012443,-0.000919,0.007072,0.025458,-0.049294,0.528886,0,trail,1
1.262578,3.034986,-1.012437,-0.000909,0.007686,0.027668,-0.020224,0.536503,0,trail,1
1.295471,3.034804,-1.012437,-0.000917,0.014441,0.051989,0.005046,0.538308,0,trail,1
1.328297,3.034992,-1.012420,-0.000945,0.012904,0.046454,-0.029249,0.534500,0,trail,1
1.361648,3.034636,-1.012420,-0.000925,0.011903,0.042850,0.004145,0.549123,0,trail,1
1.394590,3.034677,-1.012411,-0.000911,0.011970,0.043091,-0.026507,0.536911,0,trail,1
1.427090,3.034605,-1.012402,-0.000945,0.013546,0.048764,-0.012962,0.542074,0,trail,1
1.460683,3.034928,-1.012376,-0.000907,0.008585,0.030908,-0.018429,0.540160,0,trail,1
1.493842,3.034905,-1.012371,-0.000905,0.009058,0.032610,-0.044163,0.532630,0,trail,1
1.527021,3.035506,-1.012336,-0.000917,0.023180,0.083449,-0.000518,0.547549,0,trail,1
1.560771,3.035427,-1.012331,-0.000928,0.005465,0.019675,-0.010030,0.543281,0,trail,1
1.594044,3.035811,-1.012310,-0.000925,0.002207,0.007946,-0.008649,0.544972,0,trail,1
1.627316,3.036814,-1.012263,-0.000981,0.029740,0.107064,-0.001359,0.558023,0,trail,1
1.660653,3.036517,-1.012260,-0.000930,0.003493,0.012576,-0.004150,0.548030,0,trail,1
1.693779,3.036068,-1.012270,-0.000894,0.014990,0.053964,-0.031314,0.536311,0,trail,1
1.726823,3.036040,-1.012265,-0.000921,0.002567,0.009243,-0.024347,0.538644,0,trail,1
1.759917,3.036108,-1.012255,-0.000908,0.002715,0.009775,-0.014156,0.544052,0,trail,1
1.792382,3.036534,-1.012238,-0.000940,0.010746,0.038684,-0.012886,0.545369,0,trail,1
