t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035232,-29.225620,-11.989655,-0.001251,0.022519,0.081067,0.265454,0.389038,0,trail,12
0.383111,-29.227732,-11.988492,-0.000910,0.019354,0.069675,0.195310,0.398460,0,trail,12
0.417014,-29.227549,-11.988582,-0.000928,0.019757,0.071125,0.199074,0.398636,0,trail,12
0.449641,-29.227470,-11.988610,-0.000948,0.009626,0.034653,0.198789,0.397650,0,trail,12
0.482679,-29.227324,-11.988690,-0.000948,0.010443,0.037596,0.199237,0.397062,0,trail,12
0.515737,-29.227800,-11.988461,-0.000963,0.012460,0.044858,0.210124,0.394812,0,trail,12
0.547286,-29.227488,-11.988614,-0.000931,0.003373,0.012142,0.213291,0.397338,0,trail,12
0.580255,-29.227318,-11.988688,-0.000917,0.004313,0.015526,0.204890,0.397547,0,trail,12
0.613123,-29.226938,-11.988863,-0.000926,0.004985,0.017945,0.204211,0.395658,0,trail,12
0.646608,-29.227037,-11.988820,-0.000914,0.004747,0.017088,0.195096,0.396080,0,trail,12
0.679163,-29.226976,-11.988856,-0.000931,0.007427,0.026739,0.200036,0.398110,0,trail,12
0.712263,-29.226942,-11.988873,-0.000927,0.007692,0.027690,0.194937,0.397424,0,trail,12
0.745878,-29.227139,-11.988797,-0.000876,0.005342,0.019231,0.193243,0.396555,0,trail,12
0.778265,-29.226974,-11.988863,-0.000852,0.003027,0.010897,0.206168,0.396584,0,trail,12
0.811793,-29.226776,-11.988957,-0.000887,0.003287,0.011832,0.192457,0.397554,0,trail,12
0.844669,-29.226393,-11.989145,-0.000883,0.013007,0.046824,0.182584,0.400352,0,trail,12
0.878035,-29.226898,-11.988893,-0.000993,0.012319,0.044347,0.192301,0.404202,0,trail,12
0.910485,-29.226627,-11.989019,-0.000964,0.007303,0.026292,0.202012,0.402926,0,trail,12
0.944104,-29.227114,-11.988795,-0.000909,0.009475,0.034109,0.225369,0.400364,0,trail,12
0.977400,-29.227163,-11.988784,-0.000885,0.009537,0.034333,0.204911,0.402771,0,trail,12
1.010232,-29.227346,-11.988702,-0.000890,0.011060,0.039814,0.200059,0.403680,0,trail,12
1.043939,-29.226746,-11.988984,-0.000979,0.018624,0.067047,0.191758,0.405581,0,trail,12
1.077017,-29.226431,-11.989119,-0.000956,0.019792,0.071251,0.211090,0.400441,0,trail,12
1.109983,-29.226301,-11.989172,-0.000971,0.016943,0.060996,0.200893,0.399016,0,trail,12
1.142736,-29.226250,-11.989202,-0.000931,0.000000,0.000000,0.199634,0.395407,0,trail,12
1.175426,-29.226427,-11.989149,-0.000923,0.001345,0.004841,0.199986,0.396775,0,trail,12
1.208885,-29.226431,-11.989148,-0.000931,0.001098,0.003953,0.189221,0.397215,0,trail,12
1.241736,-29.226433,-11.989146,-0.001008,0.008536,0.030731,0.179535,0.402509,0,trail,12
1.274293,-29.226431,-11.989148,-0.000985,0.001033,0.003718,0.180642,0.400208,0,trail,12
1.307261,-29.226431,-11.989148,-0.000961,0.000569,0.002050,0.181318,0.399541,0,trail,12
1.340680,-29.226431,-11.989145,-0.000917,0.001080,0.003889,0.177258,0.399516,0,trail,12
1.373481,-29.226433,-11.989144,-0.000924,0.001562,0.005623,0.177400,0.399476,0,trail,12
1.406286,-29.226433,-11.989142,-0.000989,0.007361,0.026498,0.175459,0.401388,0,trail,12
1.440034,-29.226435,-11.989141,-0.000936,0.000869,0.003129,0.175976,0.398486,0,trail,12
1.472593,-29.226435,-11.989141,-0.000926,0.000659,0.002371,0.174165,0.398540,0,trail,12
1.505309,-29.226435,-11.989141,-0.001008,0.008059,0.029012,0.172104,0.401083,0,trail,12
1.537806,-29.226435,-11.989141,-0.000929,0.002558,0.009209,0.170607,0.397673,0,trail,12
1.570616,-29.226435,-11.989141,-0.000918,0.001232,0.004435,0.173281,0.398250,0,trail,12
1.603813,-29.226435,-11.989141,-0.000955,0.002943,0.010595,0.170790,0.398070,0,trail,12
1.636621,-29.226435,-11.989141,-0.000933,0.000478,0.001721,0.173410,0.397188,0,trail,12
1.669611,-29.226435,-11.989141,-0.000934,0.000948,0.003413,0.171097,0.396845,0,trail,12
1.703128,-29.226435,-11.989141,-0.000912,0.001336,0.004808,0.172882,0.397690,0,trail,12
1.736252,-29.226435,-11.989141,-0.000912,0.000746,0.002686,0.171480,0.397467,0,trail,12
