t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
0.035339,-6.987362,-15.001141,-0.000891,0.015178,0.054642,0.162070,0.538055,0,trail,3
0.379934,-6.986352,-15.006584,-0.000882,0.009801,0.035283,0.101647,0.524127,0,trail,3
0.412440,-6.986343,-15.006619,-0.000900,0.018284,0.065823,0.107732,0.530537,0,trail,3
0.445586,-6.986337,-15.006571,-0.000922,0.006950,0.025020,0.098120,0.532158,0,trail,3
0.478792,-6.986337,-15.006505,-0.000899,0.003807,0.013704,0.102267,0.528003,0,trail,3
0.511372,-6.986344,-15.006389,-0.000894,0.011651,0.041944,0.099312,0.533192,0,trail,3
0.544020,-6.986352,-15.006045,-0.000908,0.015793,0.056856,0.106833,0.534452,0,trail,3
0.576672,-6.986351,-15.006423,-0.000907,0.008057,0.029006,0.101942,0.531967,0,trail,3
0.609969,-6.986351,-15.005644,-0.000951,0.024823,0.089364,0.090897,0.539126,0,trail,3
0.642818,-6.986347,-15.005734,-0.000997,0.011705,0.042139,0.117273,0.534571,0,trail,3
0.675783,-6.986359,-15.005032,-0.000985,0.009885,0.035586,0.125569,0.525853,0,trail,3
0.708652,-6.986359,-15.004733,-0.000910,0.007608,0.027389,0.118084,0.532481,0,trail,3
0.741234,-6.986362,-15.004286,-0.000926,0.019538,0.070336,0.120967,0.537721,0,trail,3
0.774815,-6.986357,-15.004597,-0.000899,0.013714,0.049371,0.106597,0.532609,0,trail,3
0.807365,-6.986354,-15.004745,-0.000890,0.018656,0.067163,0.122858,0.535388,0,trail,3
0.840627,-6.986351,-15.004584,-0.000944,0.010116,0.036417,0.124196,0.537448,0,trail,3
0.873289,-6.986345,-15.004871,-0.000894,0.015013,0.054047,0.120796,0.538104,0,trail,3
0.906970,-6.986348,-15.004579,-0.000917,0.012337,0.044413,0.129164,0.533326,0,trail,3
0.939819,-6.986341,-15.005110,-0.000935,0.020872,0.075137,0.121970,0.531560,0,trail,3
0.973114,-6.986333,-15.005505,-0.000898,0.023948,0.086214,0.115578,0.537656,0,trail,3
1.006066,-6.986329,-15.005792,-0.000901,0.023041,0.082946,0.095079,0.538271,0,trail,3
1.038835,-6.986325,-15.006032,-0.000971,0.028626,0.103054,0.123809,0.541370,0,trail,3
1.071413,-6.986320,-15.005953,-0.000922,0.003608,0.012990,0.100893,0.529811,0,trail,3
1.104312,-6.986318,-15.006195,-0.000897,0.000975,0.003511,0.066438,0.527500,0,trail,3
1.137374,-6.986311,-15.006827,-0.000905,0.014473,0.052104,0.078033,0.532993,0,trail,3
1.171141,-6.986327,-15.006440,-0.000933,0.003662,0.013184,0.078838,0.533085,0,trail,3
1.204075,-6.986329,-15.006441,-0.001009,0.010913,0.039288,0.070219,0.534357,0,trail,3
1.236294,-6.986331,-15.006435,-0.000955,0.002811,0.010121,0.061977,0.531885,0,trail,3
1.269536,-6.986333,-15.006431,-0.000901,0.001769,0.006369,0.055822,0.530049,0,trail,3
1.303189,-6.986334,-15.006424,-0.000891,0.000984,0.003543,0.053141,0.529576,0,trail,3
1.336260,-6.986335,-15.006422,-0.000928,0.001051,0.003783,0.052025,0.528618,0,trail,3
1.369725,-6.986335,-15.006419,-0.000899,0.001780,0.006409,0.051523,0.528860,0,trail,3
1.402963,-6.986336,-15.006420,-0.001069,0.000799,0.002876,0.049052,0.527311,0,trail,3
1.435293,-6.986336,-15.006420,-0.000996,0.003953,0.014232,0.051916,0.527867,0,trail,3
1.468388,-6.986336,-15.006420,-0.000891,0.002951,0.010625,0.049085,0.528431,0,trail,3
1.501962,-6.986336,-15.006420,-0.000915,0.001057,0.003805,0.048826,0.527207,0,trail,3
1.534671,-6.986336,-15.006420,-0.000890,0.000960,0.003455,0.051269,0.527761,0,trail,3
1.568184,-6.986336,-15.006420,-0.000901,0.000616,0.002219,0.050447,0.527262,0,trail,3
1.601768,-6.986336,-15.006420,-0.000913,0.003378,0.012160,0.049249,0.528233,0,trail,3
1.634851,-6.986336,-15.006420,-0.000925,0.001233,0.004440,0.050679,0.527340,0,trail,3
