t,x,y,z,speed_mps,speed_kmh,steer,throttle,lap,mode,cam
1.044856,-64.983116,94.483307,-0.000946,0.018364,0.066111,0.099508,0.392893,0,trail,9
1.077773,-64.983246,94.483383,-0.000936,0.005740,0.020666,0.093653,0.390455,0,trail,9
1.111540,-64.983955,94.483818,-0.000973,0.020414,0.073489,0.092134,0.391388,0,trail,9
1.144428,-64.983894,94.483780,-0.000933,0.003538,0.012737,0.085282,0.391669,0,trail,9
1.177717,-64.984428,94.484093,-0.000956,0.015540,0.055944,0.107117,0.393258,0,trail,9
1.210937,-64.984322,94.484024,-0.000997,0.007730,0.027829,0.088491,0.395165,0,trail,9
1.244623,-64.984322,94.484009,-0.000921,0.000763,0.002747,0.080021,0.397297,0,trail,9
1.277472,-64.984337,94.484039,-0.000903,0.002715,0.009775,0.081726,0.396994,0,trail,9
1.310448,-64.984352,94.484062,-0.000984,0.003800,0.013680,0.082135,0.397317,0,trail,9
1.342930,-64.984360,94.484070,-0.001012,0.005009,0.018034,0.071834,0.399990,0,trail,9
1.376586,-64.984360,94.484093,-0.000988,0.000641,0.002307,0.068178,0.398685,0,trail,9
1.409342,-64.984360,94.484100,-0.000936,0.002750,0.009901,0.071064,0.398168,0,trail,9
1.442118,-64.984375,94.484108,-0.000957,0.001983,0.007138,0.070563,0.397364,0,trail,9
1.475505,-64.984383,94.484116,-0.000959,0.003219,0.011588,0.070685,0.397099,0,trail,9
1.508035,-64.984390,94.484116,-0.000943,0.000151,0.000544,0.071273,0.395557,0,trail,9
1.541394,-64.984390,94.484116,-0.000968,0.002407,0.008665,0.071255,0.395910,0,trail,9
1.574079,-64.984398,94.484116,-0.000928,0.001932,0.006957,0.071720,0.396437,0,trail,9
1.607166,-64.984406,94.484116,-0.000955,0.002424,0.008725,0.070181,0.396566,0,trail,9
1.640412,-64.984406,94.484116,-0.000939,0.003476,0.012515,0.069829,0.397209,0,trail,9
1.673494,-64.984406,94.484116,-0.000927,0.000056,0.000201,0.068777,0.396699,0,trail,9
1.706187,-64.984406,94.484116,-0.000961,0.000112,0.000404,0.067120,0.396701,0,trail,9
1.739213,-64.984406,94.484116,-0.000977,0.001280,0.004607,0.069555,0.396411,0,trail,9
1.772128,-64.984406,94.484116,-0.000981,0.001433,0.005159,0.062985,0.398059,0,trail,9
1.805398,-64.984406,94.484116,-0.000979,0.000001,0.000003,0.063453,0.397204,0,trail,9
1.838122,-64.984406,94.484116,-0.000971,0.001632,0.005874,0.062500,0.398839,0,trail,9
1.870750,-64.984406,94.484116,-0.000928,0.000531,0.001913,0.060846,0.399322,0,trail,9
1.903748,-64.984406,94.484116,-0.000920,0.001223,0.004403,0.067669,0.397462,0,trail,9
1.937541,-64.984406,94.484116,-0.000969,0.001032,0.003715,0.063432,0.398503,0,trail,9
1.970115,-64.984406,94.484116,-0.000904,0.002242,0.008071,0.066048,0.398449,0,trail,9
2.003211,-64.984406,94.484116,-0.000958,0.002105,0.007579,0.069120,0.397295,0,trail,9
2.035975,-64.984406,94.484116,-0.001000,0.005072,0.018260,0.067330,0.399260,0,trail,9
2.069550,-64.984406,94.484116,-0.000977,0.002317,0.008339,0.062274,0.398609,0,trail,9
2.102587,-64.984406,94.484116,-0.000963,0.000935,0.003366,0.062931,0.399268,0,trail,9
2.135682,-64.984406,94.484116,-0.000965,0.000591,0.002128,0.062048,0.399348,0,trail,9
2.169357,-64.984406,94.484116,-0.001001,0.000542,0.001951,0.063764,0.398214,0,trail,9
2.201491,-64.984406,94.484116,-0.000939,0.002002,0.007208,0.065021,0.399050,0,trail,9
2.234582,-64.984406,94.484116,-0.000928,0.001650,0.005941,0.064447,0.399209,0,trail,9
2.266861,-64.984406,94.484116,-0.000947,0.000936,0.003369,0.067781,0.397638,0,trail,9
2.300463,-64.984406,94.484116,-0.000944,0.002399,0.008638,0.067528,0.398549,0,trail,9
2.333251,-64.984406,94.484116,-0.000949,0.001015,0.003655,0.064257,0.398255,0,trail,9
2.366403,-64.984406,94.484116,-0.001010,0.000989,0.003560,0.066718,0.398473,0,trail,9
2.399185,-64.984406,94.484116,-0.000985,0.003773,0.013583,0.066713,0.399241,0,trail,9
2.432288,-64.984406,94.484116,-0.001020,0.002566,0.009237,0.063678,0.398384,0,trail,9
2.465282,-64.984406,94.484116,-0.000931,0.000726,0.002613,0.064333,0.399377,0,trail,9
2.497923,-64.984406,94.484116,-0.000901,0.000316,0.001138,0.062605,0.398974,0,trail,9
2.531445,-64.984406,94.484116,-0.000908,0.000470,0.001693,0.066433,0.398283,0,trail,9
2.564618,-64.984406,94.484116,-0.000951,0.003524,0.012688,0.066343,0.398823,0,trail,9
2.597262,-64.984406,94.484116,-0.000975,0.000927,0.003337,0.062463,0.397980,0,trail,9
2.630591,-64.984406,94.484116,-0.000939,0.001875,0.006751,0.066497,0.398123,0,trail,9
2.663089,-64.984406,94.484116,-0.000922,0.002088,0.007516,0.066607,0.398649,0,trail,9
2.696527,-64.984406,94.484116,-0.000942,0.000441,0.001587,0.064895,0.398113,0,trail,9
2.729457,-64.984406,94.484116,-0.000941,0.001022,0.003680,0.068025,0.397620,0,trail,9
2.761835,-64.984406,94.484116,-0.000956,0.000971,0.003496,0.067927,0.397562,0,trail,9
2.795567,-64.984406,94.484116,-0.000950,0.002108,0.007588,0.064181,0.399056,0,trail,9
2.828585,-64.984406,94.484116,-0.000911,0.002144,0.007720,0.067332,0.398223,0,trail,9
2.861658,-64.984406,94.484116,-0.000929,0.001605,0.005777,0.067662,0.398450,0,trail,9
2.894487,-64.984367,94.484169,-0.000946,0.007514,0.027052,0.062430,0.400473,0,trail,9
2.927073,-64.979881,94.490707,-0.001120,0.162047,0.583368,0.128512,0.517858,0,trail,9
2.960715,-64.975044,94.498955,-0.002359,0.333704,1.201335,0.069363,0.617980,0,trail,9
2.994709,-64.969215,94.508156,-0.002429,0.327085,1.177504,0.067236,0.626296,0,trail,9
3.029596,-64.964211,94.517479,-0.002175,0.312750,1.125899,0.138073,0.638689,0,trail,9
3.062358,-64.957550,94.527908,-0.001688,0.382320,1.376352,0.147803,0.646792,0,trail,9
3.095411,-64.951622,94.538338,-0.001474,0.384034,1.382522,0.132436,0.658997,0,trail,9
3.128378,-64.943962,94.551353,-0.001550,0.404312,1.455523,0.121748,0.683015,0,trail,9
3.161152,-64.937378,94.562927,-0.001460,0.432152,1.555747,0.084584,0.605312,0,trail,9
3.193545,-64.930428,94.575317,-0.001262,0.452105,1.627577,0.087591,0.645347,0,trail,9
3.226522,-64.923637,94.587189,-0.001075,0.460815,1.658936,0.090870,0.659676,0,trail,9
3.259027,-64.916466,94.599854,-0.001091,0.493732,1.777436,0.064111,0.695273,0,trail,9
3.292738,-64.907471,94.615067,-0.001084,0.461695,1.662102,0.017349,0.657543,0,trail,9
3.326406,-64.900009,94.628181,-0.001040,0.459858,1.655490,-0.060701,0.568761,0,trail,9
3.359032,-64.893379,94.639305,-0.000997,0.451279,1.624605,-0.074066,0.547069,0,trail,9
3.392209,-64.885132,94.652534,-0.000966,0.448071,1.613055,-0.082290,0.544383,0,trail,9
3.424797,-64.876465,94.665436,-0.000902,0.496039,1.785741,-0.021303,0.593498,0,trail,9
3.458690,-64.867928,94.680893,-0.000852,0.533325,1.919968,-0.007346,0.653251,0,trail,9
3.491369,-64.858154,94.698563,-0.001419,0.583640,2.101103,0.024352,0.683014,0,trail,9
3.524553,-64.846069,94.717987,-0.001517,0.605924,2.181326,0.036358,0.691036,0,trail,9
3.557504,-64.835716,94.735092,-0.001303,0.624863,2.249506,0.030595,0.701820,0,trail,9
3.590672,-64.825066,94.754623,-0.001328,0.693328,2.495980,0.023617,0.722877,0,trail,9
3.623700,-64.814209,94.772202,-0.001512,0.692085,2.491507,-0.013368,0.731186,0,trail,9
3.655792,-64.804062,94.790146,-0.001342,0.704436,2.535971,0.016989,0.719292,0,trail,9
3.689748,-64.790878,94.815712,-0.001421,0.753193,2.711495,0.006490,0.728419,0,trail,9
3.722999,-64.779343,94.837013,-0.001698,0.768564,2.766829,0.031704,0.691152,0,trail,9
3.756222,-64.766464,94.859146,-0.001460,0.787875,2.836349,-0.002148,0.720974,0,trail,9
3.789154,-64.755501,94.879608,-0.001426,0.820908,2.955270,-0.063913,0.733553,0,trail,9
3.822599,-64.739815,94.906891,-0.001355,0.860386,3.097388,-0.036757,0.751522,0,trail,9
3.855004,-64.724663,94.931778,-0.001698,0.904093,3.254736,-0.011405,0.768684,0,trail,9
3.887989,-64.708771,94.958885,-0.001548,0.923594,3.324938,-0.031330,0.784819,0,trail,9
3.921406,-64.693756,94.985008,-0.001510,0.976562,3.515624,-0.006698,0.816919,0,trail,9
3.953959,-64.678207,95.011795,-0.001605,1.008924,3.632126,-0.005283,0.833770,0,trail,9
3.986790,-64.659019,95.046143,-0.002075,1.111684,4.002061,-0.002666,0.869402,0,trail,9
4.020815,-64.640274,95.079292,-0.002057,1.118635,4.027086,-0.021716,0.860994,0,trail,9
4.054329,-64.622009,95.111046,-0.001884,1.161030,4.179707,0.016991,0.865506,0,trail,9
4.087095,-64.603233,95.144928,-0.002170,1.239915,4.463695,0.016467,0.891179,0,trail,9
4.119816,-64.584770,95.178017,-0.002329,1.266268,4.558564,0.019236,0.822302,0,trail,9
4.152957,-64.558243,95.223328,-0.001978,1.358213,4.889566,-0.010855,0.848128,0,trail,9
4.185853,-64.541428,95.253944,-0.002204,1.364859,4.913492,-0.002167,0.856364,0,trail,9
4.219349,-64.515762,95.297935,-0.001969,1.435316,5.167137,0.021522,0.877100,0,trail,9
4.251893,-64.493210,95.337868,-0.002362,1.461170,5.260212,0.000127,0.863618,0,trail,9
4.285350,-64.465874,95.386787,-0.001911,1.518821,5.467755,-0.017354,0.897580,0,trail,9
4.318754,-64.439491,95.433289,-0.002236,1.563869,5.629927,-0.079083,0.936252,0,trail,9
4.351995,-64.415001,95.476547,-0.002001,1.614097,5.810750,-0.071584,0.883252,0,trail,9
4.385601,-64.384308,95.528221,-0.002526,1.683672,6.061218,-0.093264,0.930157,0,trail,9
4.417779,-64.360680,95.566910,-0.002393,1.697804,6.112095,-0.058586,0.863137,0,trail,9
4.451155,-64.330154,95.617744,-0.001973,1.771940,6.378984,-0.101773,0.918129,0,trail,9
4.483987,-64.297501,95.670731,-0.002424,1.823483,6.564540,-0.078738,0.941530,0,trail,9
4.516908,-64.266403,95.721733,-0.002106,1.849276,6.657395,-0.080985,0.866095,0,trail,9
4.549813,-64.234535,95.772446,-0.002157,1.953180,7.031449,-0.061669,0.919862,0,trail,9
4.583450,-64.201881,95.826881,-0.002367,1.955450,7.039619,-0.032616,0.852400,0,trail,9
4.616693,-64.164574,95.885338,-0.001838,2.001200,7.204320,-0.023147,0.877518,0,trail,9
4.649494,-64.128136,95.945297,-0.002501,2.050933,7.383359,-0.065042,0.949622,0,trail,9
